			K00181	K03209	K00182	K00312	K00408	K00444	K00445	K00572	K00714	K01064	K01357	K01384	K01558	K01645	K19882	K01691	K19614	K16834	K02165	K02166	K02176	K02185	K02222	K02306	K02432	K02235	K02329	K02354	K02375	K02376	K02842	K04690	K03068	K10162	K08960	K02353	K03069	K03096	K03097	K03115	K03213	K03344	K03345	K03083	K02105	K02157	K04385	K02085	K08957	K02620	K04490	K04491	K04492	K04493	K04494	K04495	K04496	K04497	K04498	K04499	K04501	K04427	K04468	K04377	K04448	K04502	K04503	K10151	K10152	K04504	K01397	K04505	K04345	K04451	K04506	K04507	K03094	K04508	K03362	K03347	K03868	K08110	K04510	K04511	K19626	K04512	K04513	K17388	K04392	K07860	K07861	K04440	K05858	K04515	K04348	K06268	K02677	K19662	K19663	K04446
					100038261	100488632		101734372		100490426	100496786	101734951	100485724	549489			100493204				100493182		100037908								100488110		100487936		100491803			100144639			100498392									100487473									549620		734023				100144684										100038053					100145441						100126208		101731433	549323					100170194	100125098	100135023	100037857					
						100487954				105947033		100497091		100158655																								780117																					493558																														448080						100487267	100101771	100037840					
						101731015																																																																																									101734935	100135711						
E.Ani	Danio	dre	333999	30128	359837	569420	30123	30105	100332722	565714	30122	751644	30308	30283	791563	791454	570510	30476	447800	100000500	30197	402843	566878		117510		30412	30370	565921	30363	30364	393533	30366		100003877	83496	100006858	323630		30719	30488	30428	751108	100006754	556400	30654	30265	57931	58080	565771	192307		30523	30510	30701	58117	568214	30544	65229	30206	559273	317679	560317	553788	563460	393141	335916	564241	30222	799608		30754		30221	393998	30590	80955	405823	393716	560294	334373	323883	449846	118437	245949	368249	245946	557451	406411	317747	327204	415151	437027	569698	100001532	436815	794574	447814	497384	100006675	100003514	568315
			100006275		556087	60632		568191	561831	100148840	30144	565677	30171	791595			566040				792404						30369		567746		58073		58023		568518	431736		560032			30502		794221			560194				386762									678649		565612		559111		405892										445076					393581	406825	406816			403076	368250		560060	406659		792699		795167	562720	100537538	445208	557926	564337	100333967	393953		571865
										563427																	557384				58072		557447					569863			415254																		65230		566841														563147													798465	436718		562838			65236	569376	550436	550554					
																																	103908663					80972			556379																				567111														564064														751630					100149273	407700	562064	565241					
																																						100149082			100535532																																		108179012														100006041							793359						
																																																																																																798222						
																																																																																																791855						
E.Ani	Ictalurus	ipu	108265978	108276209	108263957	108267526	108263562	108279752	108266110	108275429	108268464	108267524	108266076	108259816	108279512	108258523	108272389	108279769	108278878	108274294	108262840	108276893			108263721		108273289	108259097	108257739	108277754	108266738	108256595	108260460		108268658	108280666	108273445	108268006		108270737	108270938	108273240	108256669	108263801	108272726	108266408	108268846	108258814	108255292	108270570	108268826		108265410	108274114	108262963	108276405	108267737	108267806	108269017		108259383	108272259	108267606	108256841	108277876	100304504	108267848		108271119	108280826		108265868		108269999	108258341	100304476	108264354	100528593	100528639	108271094	108275024	108256454	108279790	108269155	108258981	108265888	108256412	108269704	108271788	108263171	108273830	108276437	108259609	108278622	108270307	108267517	108276890	108263224	108259727	108258960	108266582	108280571
			108265120		108271793	108273758	108255178	108265992	108273177	108276349	108268465	108259511	108276208	108277378			108271115				108273553	108256038					108267025		108270052		108272300		108266036		108279868	108274338		108264349			108267736		108259662	108275724		108258646	108256545	108257243	108273124	108277162									108269758		108279275		108273360		108260705	108268289	108258130			100528326		108281076			108267323	108267915				108267995	108277126	108280768	100528272		108267010	108265757		108257948	108275781	108256302	108257150			108274025	108270308	108260541	108255714	108258530	108273127	108260780		108257496
					108266047			108265003		108280000	108262937										108262966												108263895					108268205			108255211		108256774																108273599		108273944		108255640			108272607	108260086			108279704					108270713								108279000		108268029	108255106		108269906	108265463					108263675	108269611	108277079	108267763					
										108262703											108275726																	108276110			108257452																		108268844		108272975		108277009							108281084					100528913											108274955			108254710					108278438	108258091	108273829	108274683					
										108255289																															108269230																																																108265880						108267602	108278566	108278499					
																																																																																									100528424						108258041	108255499						
																																																																																																108263497						
E.Ani	Takifugu	tru	101075803	101061628	101071718	101069649	101068089	101075293	101062888	101078823	101073059	101068819	101062670	101078737	101072879	445915	101063641		101068424	101070335	101063814	101073317	101076977		101078006		101078517	101070660	101074650	101063657	101069583	101077702	101075928		101069468	101069477	101068125	101074176		101073270	101063201	101074217	101077854	101073395	101061172	101067898	101077931	101065196	101071501	101079661	101063741		101074632	101067664	101064872	101071029	101062061	101080200	101074618		446056	101062423	101068466	101063524	101063351	653028	101077059		101077531	101063905		100049070		101077303	101069822	101079595	101074163	101077365	101068627	101062383	101067263	101068951	101079814	101074418	101070202	101073220	101070892	101069770	101076147	101068674	101063410	101071607	101064595	101073575	101076025	101064236	101074783	101071292	101064815	101079815	101079823	101079060
			101068343		101071463	101062356	101067916	101067574		101071438	445897	101062131	101061404	105418209			101062420				101075057						101071806		101070067		101078921		101064960		101073326		101067908	101061269			101066395	101062616	101066502	105419947			101069214	101075840	101065616	101062949			101063163						101063672		101078373		101072080		445934	101072742	101064806		101061278	101080220					101067856			101066973		101072205					101071775	101065313		101067817	101064166	101067715	101067160			101078548	101078708	101073370	101073844	101074110	101071034	105418368		101065260
					100137508												101062197				105416356										101064504				101073569			101065936			101078433								101069255										101066137		101070643		101068039							101073562					101066292					101066969					101070874	101071385			101070117					101067839	101065367	101062260	101072650			101065234		101061680
																	101061589														101069478							101061354			101067113								105419692										101063195		101073984		101066016												101062935										101068730	101073257								101070190	101073102	101068297	101073266					
																																									105418715																				101061242																								105419502	101078070									101069591	101061448	101074237					
																																																																																																101071995	101070452					
																																																																																																101061462						
E.Ani	Tetraodon	tng	GSTEN00008492G0	GSTEN00003242G0	GSTEN00029826G0	GSTEN00011478G0	GSTEN00004991G0	GSTEN00027963G0	GSTEN00031611G0	GSTEN00013021G0	GSTEN00031638G0	GSTEN00016143G0	GSTEN00002159G0	GSTEN00003369G0	GSTEN00005235G0		GSTEN00022668G0			GSTEN00026927G0	GSTEN00016389G0	GSTEN00034881G0	GSTEN00013679G0		GSTEN00016514G0		GSTEN00005946G0	GSTEN00022033G0	GSTEN00032839G0	GSTEN00013769G0	GSTEN00010060G0	GSTEN00015649G0	GSTEN00006192G0		GSTEN00008363G0	GSTEN00016566G0	GSTEN00004319G0	GSTEN00023577G0		GSTEN00022224G0	GSTEN00004225G0	GSTEN00038264G0		GSTEN00033472G0		GSTEN00026022G0	GSTEN00012244G0	GSTEN00034436G0	GSTEN00007988G0	GSTEN00024781G0	GSTEN00007611G0		GSTEN00025415G0	GSTEN00019527G0	GSTEN00033451G0	GSTEN00028232G0	GSTEN00015134G0	GSTEN00002772G0	GSTEN00019902G0		GSTEN00008995G0	GSTEN00004808G0	GSTEN00017220G0	GSTEN00000761G0	GSTEN00006817G0	GSTEN00031807G0	GSTEN00001150G0		GSTEN00026524G0	GSTEN00021540G0		GSTEN00028148G0		GSTEN00004436G0	GSTEN00019760G0	GSTEN00019217G0	GSTEN00002665G0	GSTEN00028388G0	GSTEN00004655G0	GSTEN00002324G0	GSTEN00005198G0	GSTEN00003534G0	GSTEN00008999G0		GSTEN00014273G0	GSTEN00034257G0	GSTEN00034032G0	GSTEN00030344G0	GSTEN00002215G0	GSTEN00016969G0	GSTEN00009736G0	GSTEN00034813G0		GSTEN00019882G0	GSTEN00002207G0	GSTEN00014312G0	GSTEN00009662G0	GSTEN00018677G0	GSTEN00033392G0	GSTEN00021867G0	GSTEN00015420G0	GSTEN00004162G0
			GSTEN00023528G0	GSTEN00028074G0	GSTEN00013525G0	GSTEN00016147G0	GSTEN00014159G0	GSTEN00034446G0		GSTEN00033287G0	GSTEN00016443G0	GSTEN00022002G0	GSTEN00031613G0	GSTEN00009826G0			GSTEN00018564G0				GSTEN00033457G0						GSTEN00020086G0		GSTEN00018475G0	GSTEN00037057G0	GSTEN00015228G0		GSTEN00010618G0		GSTEN00005065G0		GSTEN00024227G0	GSTEN00023578G0			GSTEN00006230G0	GSTEN00036163G0					GSTEN00035353G0	GSTEN00015703G0	GSTEN00033399G0	GSTEN00008284G0			GSTEN00011518G0	GSTEN00019529G0				GSTEN00031791G0	GSTEN00024971G0		GSTEN00026317G0		GSTEN00004746G0	GSTEN00010129G0	GSTEN00004800G0		GSTEN00020512G0			GSTEN00016773G0					GSTEN00026232G0		GSTEN00006442G0		GSTEN00029891G0	GSTEN00002706G0					GSTEN00014274G0	GSTEN00029692G0		GSTEN00015771G0	GSTEN00011459G0	GSTEN00023147G0	GSTEN00024153G0			GSTEN00014434G0	GSTEN00003549G0	GSTEN00038155G0	GSTEN00019008G0	GSTEN00007813G0	GSTEN00026368G0	GSTEN00009847G0		GSTEN00035287G0
					GSTEN00028019G0					GSTEN00035271G0			GSTEN00028070G0	GSTEN00004348G0			GSTEN00026246G0														GSTEN00016595G0						GSTEN00037517G0	GSTEN00019247G0			GSTEN00036300G0	GSTEN00034166G0												GSTEN00006353G0				GSTEN00031792G0	GSTEN00035933G0		GSTEN00011900G0		GSTEN00008799G0				GSTEN00015028G0			GSTEN00027337G0					GSTEN00022860G0					GSTEN00000680G0					GSTEN00019582G0	GSTEN00033248G0			GSTEN00027973G0					GSTEN00030625G0	GSTEN00020280G0	GSTEN00037275G0	GSTEN00034888G0		GSTEN00026369G0			
																	GSTEN00026247G0																					GSTEN00021138G0			GSTEN00006008G0													GSTEN00029890G0							GSTEN00013510G0														GSTEN00016205G0					GSTEN00020415G0					GSTEN00019583G0	GSTEN00021034G0			GSTEN00027366G0						GSTEN00020281G0	GSTEN00037357G0	GSTEN00013810G0					
																																						GSTEN00021139G0			GSTEN00034172G0																				GSTEN00024248G0																			GSTEN00026058G0					GSTEN00007970G0										GSTEN00020282G0	GSTEN00037640G0	GSTEN00010354G0					
																																						GSTEN00020942G0																							GSTEN00026318G0																			GSTEN00014964G0					GSTEN00026040G0										GSTEN00020283G0	GSTEN00014562G0						
																																																																																															GSTEN00032419G0	GSTEN00033048G0						
																																																																																															GSTEN00018741G0	GSTEN00025360G0						
																																																																																																GSTEN00038441G0						
																																																																																																GSTEN00009461G0						
																																																																																																GSTEN00029080G0						
E.Ani	Larimichthys	lco	104932803	104932478	104922301	104917686	104923622	109138789	104919603	104940226	104930490	104923918	109140847	104933905	104934562	104926688	104918326		104931091	104929202	104927266	104937559	104917863		104930009		104925482	104925888	104940210	104920116	104923589	104923779	104923087		104933402	104924083	104932708	104937819		104935873	104936505	104922521	104924557	109142919	104935280	104936875	104922057	104918719	104918811	104937427	104934774		104937897	104932553	104927262	104932491	104927969	104925288	104928612		104925373	104933460	104924734	104924081	109138219	104938695	109138454		104937240	104927998		104933082		104935360	104918597	104923960	104929133	104936722	104924374	104925011	104934047	104933878	104932083	104920571	104934112	104927906	104923026	104923330	104933039	104924772	104918062	104925434	104927171	104926477	104920858	104935860	104920567	109138717	104918810	104917655	104929793	104931050
			104932129		104925521	104925160	104932544	104931731		104929678	104924241	109140386	104932464				104927360		109140322		104927471		109142156				104932625		104927081		104929446		109138626		104939163		104918897	104924672			104935926	104925497	104940342	104926968	109142747		109142603	104921153	104935090	104935740			104935330						109136641		104918882		104933118	104928162	104938270	104935616	104927418		109138176	104922121					104925395		109142409			104931134					104937500	104934125	109141107	104930548	104933314	104926776	104918805		104929536	104922720	104919801	104925006	104937635	104930901	109142688	104929965		104926509
					104932064	109141721		104924622		104921012	104924242	104917687	104919614				104930261						104920138				104936971				104927254		104924168					104933929			104930306		104940677				104928105												104925227		104932063		104933066		104935892	104934318	104926010		104939589	104939073					104931534										104935705	104933001		104928164	104931794					104924269	104935685	104931702	104924602	104918540	104927125			
										104933513																												104934174																					104922705		104925726		104937277				104937023			104926717					104931945										104936429	104925408			104932082					104928586	109140342	104921044	104937942					
																																																											104929382																											104924131			104918352						104924817	104924351	109137422					
																																																																																															109138593	109142853	109139922					
																																																																																															104928901	104936335	104934810					
																																																																																																104920649						
																																																																																																109139148						
E.Ani	Maylandia	mze	101468644	101475965	101464295	101472392	101473265	101487154	101474169	101466313	101486602	101472696	101473879	101484274	101465510	101487716	101464908		101472258	101468998	101467274	101487708	101483843		101485087		101473718	101477561	101474904	101475019	101487122	101472589	101477024		101476287	101482795	101485667	101472481		101479986	101473264	101472534	101479654	101471173	101470354	101487930	101486082	101487168	101464051	101476338	101464754		101481605	101473558	101464688	101468805	101482276	101477559	101467118		101478121	101471243	101485383	101484924	101486522	101474120	101472459	101474460	101485361	101472403		101465104		101485940	101482847	101480650	101487652	101475605	101469121	101465000	101473198	101485891	101480103	101473864	101465194	101481198	101482273	101482369	101478838	101475967	101483895	101488012	101467064	101476882	101474135	101473593	101478346	101465581	101487097	101465488	101481445	101485322
			101476019		101476551	101469754	101479331	101468418		101469419	101464751	101471472	101464338				101464920				101466985	101487073	105941156				101466223		101479845		101473776		101474735		101467603		101484527	101468147			101465804	101474806	101476486	101475654			101475823	101472703	101484908	101485384			101466461	101472434					101482142		101476833		101481185	101475992	101464874	101479046	101486839		101467298	101470118					101482575			101475898		101474556					101486397	101478456		101486645	101485690	101470679	101485378			101477577	101475994	101480272	101465092	101487274	101464257	101478005		101479784
			106675538		101464519					101484715	101466389						101483719				101477367						101467880				101471247							101484949			101475997		101466794																101476325		101467023		101467180			101464606	101463670			101472513					101470440					101477471					101468313	101474186			101465971		101485652			101486303	101464832	101472930	101470341					
										101464816																												101466230			101475794																		101481404		101468013		101485614							101479984					101473852										101469466	101484074			101472412		105941067			101480702	101465812	101475499	101486266					
																																																																																						101473975			101464339						101478971	101466566	101468521					
																																																																																																101474026						
																																																																																																101479352						
E.Ani	Oryzias	ola	101170431	100125456	100529167	101155545	100301590	100049184	101174712	101155025	101171501	101155800	101174473	101155217	101164219	101159320	101171916		101160187	101173510	101172518	100049476	101159245		101162946		101163619	101165060	101164863	101169962	101155728	101161672	101174936		101172212	101174630	101175322	101157324			101156432	101155859	101162315	101170738	101165680	101174787	101166738	101155852	101159441	101169683	101155263	110017114	100820729	101169492	101167344	101175156	101165425	100304455	101158706		101168870	101175391	101168872	101164271	101168711	101164933	101174822		101169672	101174910		100049393		101154844	101163742	100049321	101155925	101155638	101173567	101173456	101174029	101155471	101170590	101160491	101165035	101170923	101168237	101171211	101173444	101172697	101159016	101163549	105354522	101168799	100049535	101156912	101168142	101168674	101159746	105353642	101164921	101161493
			101155172		101164972	101174231	100301591	101160069		101172241	101171257	101173867	101170092				101157515				101172222		101171428				101170298		101170336		101163367		101161314		101156147		105356509	101163770			101171988	101175345	101157204	101156122			101171502	101155494	101156143	101162682				101174687					101168811		101163392		101163504		101162387	101171524	101160956			101163574					101170876					101165003					101163605	101168539		101174553	101155194	101159717	101175028			101157952	101172698	101159287	101172250	101161991	101160465	101161464		101158005
					101162030					101170723	101154972										101159297						101156794				101155718				101167185			101165393			101163644																		101175355		101160197		101173916				101173011			101175697					101160305					101170720					101165688	101165857		101155891	101167618	105357372	101158699			101164997	100049529	101168431	101169815					
										101174500											110017115																	101159562																					101164069		101155770									101165722					101160964										101170632	101164394			101172464					101158978	100049465	101170226	101156706					
																																																																																						101172411			101158607						101175365	101161941	101162612					
																																																																																									101160539						101166030	101170191						
																																																																																																101160009						
																																																																																																101172229						
E.Ani	Xiphophorus	xma	102227294	102224929	102229429	102229522	102232798	102238407	102234174	102235344	102228256	102226011	102234428	102220098	102232574	102238068	102222091		102235224	102216550	102235797	102218206	102216431		102222357		102237037		102224969	102223471	102225219	102217789	102224377		102227455	102233180	102232548	102217272			102236226	102217403	102229725	102236773	102235471	102224919	102233058	102232266	102227549	102228122	102223425		102234111	102216716	102226301	102229881	102220207	102225699	102217139		102230576	102231677	102228719	102226534	102233188	102224917	102234665		102233074	102230338		102219133		102224517	102230641	102219062	102232686	102216633	102221489	102227593	102230173	102238349	102233269	102234901	102233184	102224960	102226426	102220853	102222710	102226221	102226330	102225118	102224880	102234094	102223820	102238314	102229803	102218918	102228309	102219546	102229029	102224478
			102217940		102218548	102217483	102236316	102225926		102233666	102228510	102223878	102225187				102232482				102234982		102229158				102226874		102232337		102227689		102236260		102227364		102235963	102233479			102233830	102232864	102237110	102225829			102234936	102228925	102216583	102216614			102218641						102222623		102235592		102225323	102232287	102231789	102229551	102230050			102220824					102225635					102225453	102229461				102231827	102238280		102216916	102234531	102234782	102217124			102237237	102224078	102222103	102217279		102227289	102228928		102237484
					102227063					102227640	102235652						102226987										102228954				102237243							102235653			102221937																		102226960		102221134		102232588			102220374									102237217					102236535					102217702	102237424		102232029	102229174	102230495	102218748			102226476	102219479	102219759	102231182			102235758		
										102229577																												102216940			102221217																		102218513		102230991														102230273										102218175	102217015		102217997	102225527		102216748			102221148	102230660	102218714	102235928					
																																																											102237565		102226082																									102230416			102233685		102217008				102217878	102233374	102238431					
																																																											102230077																																					102220084	102218689					
																																																																																																102220401						
																																																																																																102225146						
E.Ani	Salmo	sasa	106566826	106572674	106573123	106569341	106605854	106566524	106581837	106575957	106604409	106607324	106572675	106603540	106576171	106589720	106589169		106603571	106579332	106610335	106585130	106602749		106577235		106605515	106607305	106608120	106581418	106599491	106605646	106567714		106560964	106578551	100195355	106599063		106605477	106560926	106570061	106570477	106610328	106574525	106582120	100380816	106607340	106564887	106613603	106611977		106580381	106579026	106602294	100194894	106600304	106578689	106603903		106601889	106583210	106605446	106571331	106600752	106568625	106613963		106561617	106561356		106566994		106611426	106592286	106602901	106573709	100195923	106567526	106582098	106603254	106578388	106601243	106612107	106582105	106567229	106605926	106571498	106566794	106611132	106606735	106601466	106595201	106568502	106608040	106562908	106612112	106578839	106606726	106594520	106592127	106569777
			106567241	106567052	106566047	106599872	106565616	106609811	106586152	106560992	106604410	106569340	106567053	106567945	106609305	106589939	106589170		106568910	106589308	106610362	100195490	106613226		106612985		106605516	106601035	106571591		106568833	106578482	106612580		106573620	106590018	106589542	106608773		101448021	106565263	106594067	106562389	106608404	106575365	106574304		106593505	106606638	106568367	106604944		106563056	106589326	106610340		106569448	106590153	106604969		106601159	100195318	106568180	100196829	106613077	106578682	106569413		106562055	106573197		100136526		106595294	106564260	106577554	106560862		100195936	106613928	106604789	106599302	100136424	106586057	106600389	106561627	106594359	106561884	106566835	106600638	106606203	106601467	106589606	106576863	106608052	106602935	106580517	100380679	106564882	106563990	106594733	106605067
			106572297		106561551	106579325	106583123	106597855		106571899	106577209	106601131	106581835	106603405			106589172		100195305		106577088		106610025				106569856		106610748		106578536		106579912		106595994		106601228	106612406			106573643	106588218	106587577	106610359		106575138		106577099	106601775	106573931			106585616						106611936		106601244		106569881	106610755	106581270	100380346	106600411		106587137	106601568		100136536		106580298	106569146	106608673				106568749	106568099	106569218			106609014	106565843	106593616	106611184	106572042	106571171	106601744	106564435	106610298	106579004	106608062	106607539	106608629	106589933	106606627	106563994	106593604	106588230
			106572375		106582740	106589299	106576564			106566606	106608511	106599874	106586153	106568050			106564593				106578949						106574245		106571436		106574888		106603626		106593493		106609470	106567255			106605979	106593881	106588916			106575154		106601114	106606676	106561897			106567996						106604922		106607167		106585826	106572417	106583944	106590162	106568560		100306852	106606904		100136414		106581429	106613442					106598815	106611815				106569379	106566643		106601075	106565140	106607561	106589605	106590297		106604910	106608063	100380644	106604405	106586010	106606709	106595822		106583607
										106584495							106601896				106594517						106575172				106582378		106580877		106597157			106568930			106587860	106573472	106574162			106586650		106593205	106585623										106562812		106606488		100195274			100380531	106584280			106576262		100136532			106599750					106586619					106575319	106571867			106572261		106609976			106563760	106608066	106570798	106563625		106606719	106592163		
										106583847							106606434				100196427						106582548				106586337		106585529					106602818			106588967							106595544											106577038		106564464		106588319				106572830			106583090					106606839					106584305					106577852	106576510			106572962					106589346	106571556	106570800	106568136		106592128	106593748		
																	106591520				106589228						106588534											106572388			106583626																		106594219		106593588		106580167							100195486					106593376										106574540	106576524			100195933					106604288	106571557	106570801	106603034		106593747			
																	106592839				106608700						106579053											106577635			106587980																		100380520		106589530		106563948																						106586627	106573091			106582735					106560362	106571738	106570802	106585124		106594070			
																																									106597854																		100380793		106590442																									106583026			106592002						106610872	100380658	100196828		106599041			
																																									100196311																		106607425		106608924																									106596330			106583462						106578106	106576966	100195067		106598991			
																																									106598018																																													106572445									106610916	106577507			100196493			
																																									100195028																																																						106595124	106563741						
																																																																																															106591031	106610564						
																																																																																															106593689	106597964						
																																																																																															106592886	106597844						
																																																																																															106599624	106591332						
																																																																																																106597934						
																																																																																																106597817						
																																																																																																106597904						
																																																																																																100195738						
																																																																																																106584897						
																																																																																																106597790						
																																																																																																106597631						
																																																																																																106597116						
																																																																																																106597935						
																																																																																																106597932						
																																																																																																106597965						
																																																																																																106597963						
																																																																																																106589429						
																																																																																																106569240						
																																																																																																106606853						
E.Ani	Latimeria	lcm	102364055	102350033	102352078	102360724	102358331	102366294	102352652	102351133	102353855	102360464	102352380	102362969	102346469	102366615	102360851	102348801	102357652	102352324	102358266	102358036	102365376	102354561	102358425		102349574	102360207	102361717	102360062	102354857	102348155	102352447		102366230	102365621	102354380	102364030		102367067	102348375	102357955	102355164	102356054	102345305	102350787	102351770	102351869	102365123	102356342	102347735	102350321	102364488	102346208	102354030	102347568	102353235	102363300	102356115		102363820	102358399	102358988	102358159	102352356	102357079	102350279		102361167	102351286		102351196		102350642	102359855	102366539	102361177	102357317	102350053	102349265	102350584	102360768	102352187	102355904	102355767	102362584	102353332	102349674	102348524	102354777	102367135	102351732	102364586	102351693	102365542	102360263	102361410	102367157	102361415	102364971	102352260	102350112
					102345664	102355315	102366334	102352271	102350297	102359317	102347690	102355045	102354275	102358867			102351795				102365279		102359071				102352397				102363206		102349865		102358016			102358902			102348027		102355683						102346005	102364375					106706489				102355652		102355017		102353847		102353948	102359985	102358101			102345953					102362951					102363322	102363698				102350987	102348030	102346790	102359968	102363105		102352006			102357573	102348275	102346458	102353071					102354410
										106703119							102361649				102358687																	102356490			102357461									102356576									102357156		102355552																									102352970			102351192					102351958	102362364	102361646	102346544					102349968
																					102354118																	102349092			102356473																				102353074																																		102345855	102355499	102352270					
																																																													102352539																																		102363030	102360076	102363964					
																																																													106706726																																		102346126							
E.Ani	Callorhinchus	cmk		103189269	103182404	103187749	103181434	103181804	103190982	103185034	103182768	103187750	103190983	103178866	103186123	103177742	103175578	103186105	103180565	103172819	103183677	103171861	103189386	103183405			103176843	103183861	103188514	103184383	103178640	103184949	103180513		103174935	103183822	103189787	103181449		103174308	103188624	103174256	103176172	103177732	103191445	103180204	103183916	103188268	103175739	103182088	103186939			103186546	103182161	103184233		103177042	103181470		103178725	103176669	103187334	103178276	103183358	103173257	103185297	103174264		103185578		103179054		103178476	103174709		103176072		103183679	103175772	103177316	103187003	103189242	103179396	103177446	103182475	103181166	103190695	103176633	103180944	103178707		103175476	103180867	103187635	103181591	103187759	103177901	103175619	103186617		103183227
					103179360	103174047		103176770	103188488	103179433	103183727	103172868	103190528	103190568			103178801				103187946						103181223				103176824		103184280		103179330	103186420		103187995			103185904		103176318							103181147									103177277		103189241					103185113	103187587			103182468				103191072	103189096				103182116	103177163	103191203					103179386		103178516	103172913		103191021			103185857	103171709	103187823	103177620					
																					103180898																				103183639																		103185450																											103179774		103190354			103191023			103183732	103191382	103190417	103185841					
																					103191219																																																																										103187499	103188234	103186967					
																																																																																															103191092	103180901						
																																																																																															103186433							
E.Ani	Branchiostoma	bfo	BRAFLDRAFT_2034	BRAFLDRAFT_1137	BRAFLDRAFT_1456	BRAFLDRAFT_1183	BRAFLDRAFT_5671	BRAFLDRAFT_1181	BRAFLDRAFT_5722	BRAFLDRAFT_5663	BRAFLDRAFT_1046	BRAFLDRAFT_6702	BRAFLDRAFT_1183	BRAFLDRAFT_2714	BRAFLDRAFT_2058		BRAFLDRAFT_1269				BRAFLDRAFT_1238		BRAFLDRAFT_7499				BRAFLDRAFT_2785			BRAFLDRAFT_2694	BRAFLDRAFT_1227		BRAFLDRAFT_1229		BRAFLDRAFT_7162			BRAFLDRAFT_1245			BRAFLDRAFT_1135	BRAFLDRAFT_5992				BRAFLDRAFT_1307	BRAFLDRAFT_1246	BRAFLDRAFT_1269		BRAFLDRAFT_1539	BRAFLDRAFT_1075			BRAFLDRAFT_6612					BRAFLDRAFT_9305		BRAFLDRAFT_1265	BRAFLDRAFT_1271	BRAFLDRAFT_2453	BRAFLDRAFT_1258	BRAFLDRAFT_2191	BRAFLDRAFT_6019	BRAFLDRAFT_1303			BRAFLDRAFT_2719				BRAFLDRAFT_1181	BRAFLDRAFT_1322		BRAFLDRAFT_1298	BRAFLDRAFT_8754	BRAFLDRAFT_1245	BRAFLDRAFT_5793	BRAFLDRAFT_5944	BRAFLDRAFT_1237	BRAFLDRAFT_1135		BRAFLDRAFT_2084	BRAFLDRAFT_1211		BRAFLDRAFT_2204	BRAFLDRAFT_8030	BRAFLDRAFT_8781	BRAFLDRAFT_1269			BRAFLDRAFT_8637	BRAFLDRAFT_2026	BRAFLDRAFT_1200		BRAFLDRAFT_7878	BRAFLDRAFT_5984			
					BRAFLDRAFT_6020								BRAFLDRAFT_1137	BRAFLDRAFT_2457			BRAFLDRAFT_9332						BRAFLDRAFT_2781				BRAFLDRAFT_2066								BRAFLDRAFT_1231																																																						BRAFLDRAFT_1152		BRAFLDRAFT_2166				BRAFLDRAFT_2026	BRAFLDRAFT_2091		BRAFLDRAFT_9299	BRAFLDRAFT_8803			
																	BRAFLDRAFT_7666										BRAFLDRAFT_1711								BRAFLDRAFT_7080																																																						BRAFLDRAFT_7849		BRAFLDRAFT_8622				BRAFLDRAFT_1700							
																	BRAFLDRAFT_2751																																																																										BRAFLDRAFT_8812											
																	BRAFLDRAFT_7874																																																																										BRAFLDRAFT_1284											
																	BRAFLDRAFT_7959																																																																																					
																	BRAFLDRAFT_1221																																																																																					
E.Ani	Ciona	cin	100184764		778720	445715		445761		778938			778792								778575	778933	778984				778717			100177470	445740		100186263		778669			445782			445749	445589				445595	445806	778548		778909	100177660			778773					100184556		778561	100183367	778905	778771	778685		778972			100186373				100180547	100176009		100176189	100183666	100181511	100187205	445628	100177902	100182516		100187060	100144412		100184055	445700	100176906	448957			778660	100186259	100181678	100185597	100187330	100186768			
																					780707																														100170009																																						493871		448958				100182086			100176273				
																																																																																											445702							100185292				
																																																																																											448954											
																																																																																											108949744											
																																																																																											448955											
																																																																																											619233											
																																																																																											619234											
E.Ani	Strongylocentrotus	spu	577959	373498			100892060	578814	585147	581981	397068		576131		591980						100048987				575604		576574			100889259	582578		585651		590395			584189			580315	579320	591067			764638	576711	576611		578083	581288			373203			577327	587141	575207		577224	577255	575230	590951	574783	373385	588294		373245					578066	589947		592708	593229	594639	590208	578954	589630	591601		590912	755492	589721	583322	585398	579202	581537			580919	587412	373512	588695	590811	754681			
																																																			578274																																			576048			575855		593690				100888919	105437783		588838				
E.Ani	Saccoglossus	sko	100313706	100303492	100303493	100303494	100329013	100313542	100313763	100313764	100313765	100313766	100329012	100313541	100370081		100313685	100313540			100303547				100313730		100372934			100375157	100370846		100375175		100377093	100302750		100374125	100303596		100303588	100366967	100313662			100303595	100303569	100303567		100371477	100378233			100303556					100373494		102802447	100378466	100369846	100313751	100313664	100303478	100313553			100303589				100369635	100370476		100375002	102803541	100313722	100368910	100329075	100376800			100366803	100329052	100329035	100376438	100370332	100371856	100378084			100374258	100376870	100371971	100303571	100313566		100370447		
										100329104							100372731										102804430				100371000				100374529																100303587										100366719																											102806629		102807548	100369371				100377106			100368018				
																	102809268														100313610				102801037																										100329018																																									
																																																													100372898																																									
